1788739200|20260907080000|954.44
1788739205|20260907080005|954.77
1788739210|20260907080010|954.71
1788739215|20260907080015|954.38
1788739220|20260907080020|954.49
1788739225|20260907080025|954.49
1788739235|20260907080035|954.46
1788739240|20260907080040|954.42
1788739245|20260907080045|954.53
1788739250|20260907080050|954.86
1788739255|20260907080055|954.57
1788739260|20260907080100|954.48
1788739265|20260907080105|954.63
1788739270|20260907080110|954.98
1788739280|20260907080120|954.87
1788739285|20260907080125|954.95
1788739295|20260907080135|954.96
1788739300|20260907080140|954.92
1788739305|20260907080145|954.97
1788739310|20260907080150|955.04
1788739315|20260907080155|955.11
1788739320|20260907080200|955.09
1788739325|20260907080205|954.99
1788739330|20260907080210|955.14
1788739335|20260907080215|955.07
1788739340|20260907080220|954.85
1788739345|20260907080225|954.99
1788739355|20260907080235|954.98
1788739360|20260907080240|954.97
1788739365|20260907080245|955.03
1788739370|20260907080250|954.91
1788739375|20260907080255|954.51
1788739385|20260907080305|954.60
1788739390|20260907080310|954.50
1788739395|20260907080315|954.59
1788739405|20260907080325|954.35
1788739415|20260907080335|954.27
1788739420|20260907080340|954.26
1788739425|20260907080345|954.28
1788739430|20260907080350|954.24
1788739435|20260907080355|954.43
1788739445|20260907080405|954.36
1788739450|20260907080410|954.42
1788739460|20260907080420|954.34
1788739465|20260907080425|954.55
1788739505|20260907080505|954.45
1788739510|20260907080510|954.43
1788739515|20260907080515|954.16
1788739520|20260907080520|954.19
1788739525|20260907080525|954.34
1788739535|20260907080535|954.51
1788739540|20260907080540|954.52
1788739545|20260907080545|954.53
1788739550|20260907080550|954.56
1788739555|20260907080555|954.65
1788739560|20260907080600|954.64
1788739565|20260907080605|954.63
1788739570|20260907080610|954.69
1788739575|20260907080615|954.71
1788739580|20260907080620|954.69
1788739585|20260907080625|954.74
1788739595|20260907080635|954.76
1788739600|20260907080640|954.76
1788739605|20260907080645|954.61
1788739610|20260907080650|954.53
1788739615|20260907080655|954.58
1788739620|20260907080700|954.63
1788739625|20260907080705|954.72
