============================================================
股票数据分析报告[US]


涨幅超过 5% 的股票清单（按涨幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	涨幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	-------   	-------   	----------        
41        	ENLV           	Enlivex   	美               	      0.81	     14.73%	     -8.11%	🟢        	    09-17 15:43:46
42        	CONI           	2倍做空COIN ETF-G..	美               	     33.15	     14.13%	      8.40%	🔴        	    09-17 14:58:47
43        	PRPL           	Purple Innovat..	美               	      2.53	     14.04%	    -11.23%	🟢        	    09-17 16:58:47
44        	FNGR           	FingerMotion	美               	      0.14	     13.95%	     -1.87%	🟢        	    09-17 16:43:46
45        	SLGB           	智慧物流      	美               	      0.33	     13.84%	      4.25%	🔴        	    09-17 15:28:46
46        	WXM            	山友国际      	美               	      3.75	     13.65%	     -1.57%	🟢        	    09-17 16:28:47
47        	CIEG           	2倍做多CIEN ETF-L..	美               	      3.87	     13.37%	      3.35%	🔴        	    09-17 16:58:47
48        	GLE            	Global Engine ..	美               	      0.64	     13.29%	      6.86%	🔴        	    09-17 16:28:47
49        	SAGT           	Sagtec Global	美               	      0.60	     13.22%	     -4.98%	🟢        	    09-17 16:43:46
50        	UPLD           	Upland Software	美               	      3.95	     13.07%	      5.20%	🔴        	    09-17 16:28:47
51        	ADGM           	Adagio Medical	美               	      0.50	     13.05%	      7.99%	🔴        	    09-17 16:43:46
52        	SKK            	SKK Holdings	美               	      4.35	     12.75%	      6.62%	🔴        	    09-17 14:43:46
53        	TURB           	Turbo Energy	美               	      0.89	     12.34%	     -7.96%	🟢        	    09-17 16:43:46
54        	DETX           	Liberty Defens..	美               	      2.23	     12.10%	     -0.12%	🟢        	    09-17 16:13:46
55        	COHH           	2倍做多COHR ETF-L..	美               	      5.74	     11.87%	     13.56%	🔴        	    09-17 14:28:47
56        	EPOW           	晖阳新能源     	美               	      0.27	     11.86%	      0.22%	🔴        	    09-17 14:58:47
57        	GIXI           	Gix Internet	美               	      5.46	     11.84%	      2.54%	🔴        	    09-17 15:43:46
58        	CUPR           	Cuprina Holdings	美               	      1.60	     11.78%	    -45.39%	🟢        	    09-17 16:43:46
59        	FMST           	Foremost Clean..	美               	      0.74	     11.78%	     -4.40%	🟢        	    09-17 16:13:46
60        	SPCG           	2倍做空SpaceX ETF..	美               	     15.28	     11.77%	    -10.06%	🟢        	    09-17 15:43:46
61        	DFLI           	Dragonfly Energy	美               	      0.85	     11.73%	     -0.48%	🟢        	    09-17 16:13:46
62        	AIMD           	Ainos     	美               	      1.38	     11.66%	      0.73%	🔴        	    09-17 17:13:46
63        	CLSX           	2倍做多CLSK ETF-T..	美               	     12.45	     11.60%	      1.72%	🔴        	    09-17 15:43:46
64        	CYN            	Cyngn     	美               	      0.72	     11.53%	     -9.60%	🟢        	    09-17 17:13:46
65        	BTOC           	Armlogi Holding	美               	      0.27	     11.21%	     -4.56%	🟢        	    09-17 16:28:47
66        	IREZ           	2倍做空IREN ETF-T..	美               	      9.35	     11.17%	     -5.08%	🟢        	    09-17 16:58:47
67        	RBLU           	2倍做多RBLX ETF-T..	美               	      5.36	     11.09%	    -10.90%	🟢        	    09-17 16:13:46
68        	CABR           	Caring Brands	美               	      1.22	     11.02%	      3.39%	🔴        	    09-17 16:13:46
69        	ZEO            	Zeo Energy	美               	      0.25	     10.93%	      1.80%	🔴        	    09-17 15:28:46
70        	PMI            	Picard Medical	美               	      6.48	     10.80%	      1.41%	🔴        	    09-17 15:13:46
71        	BTBD           	BT Brands 	美               	      1.70	     10.69%	     -1.16%	🟢        	    09-17 16:58:47
72        	JL             	即亮集团      	美               	      4.26	     10.68%	    -12.51%	🟢        	    09-17 15:13:46
73        	RIOX           	2倍做多RIOT ETF-D..	美               	     24.45	     10.61%	      6.30%	🔴        	    09-17 15:58:46
74        	CJMB           	Callan JMB	美               	      2.20	     10.57%	     -3.08%	🟢        	    09-17 16:13:46
75        	IQST           	iQSTEL    	美               	      1.01	     10.48%	     -3.81%	🟢        	    09-17 16:58:47
76        	GLXU           	2倍做多GLXY ETF-T..	美               	      4.76	     10.44%	      0.42%	🔴        	    09-17 15:28:46
77        	GFAI           	Guardforce AI	美               	      0.32	     10.37%	     -7.09%	🟢        	    09-17 17:13:46
78        	HODO           	House of Doge	美               	      0.19	     10.36%	      7.80%	🔴        	    09-17 15:13:46
79        	GEVG           	2倍做多GEV ETF-Le..	美               	     20.84	     10.35%	      9.74%	🔴        	    09-17 16:28:47
80        	ALAR           	Alarum Technol..	美               	      2.14	     10.22%	     -4.89%	🟢        	    09-17 15:13:46
81        	AEHG           	2倍做多AEHR ETF-L..	美               	      6.52	     10.20%	      7.24%	🔴        	    09-17 15:58:46
82        	RCT            	RedCloud  	美               	      0.19	     10.10%	     -3.03%	🟢        	    09-17 15:58:46
83        	MMA            	MMA.inc   	美               	      0.40	     10.08%	      2.30%	🔴        	    09-17 16:58:47
84        	MSTP           	2倍做多MSTR ETF-G..	美               	     19.84	     10.08%	     -6.13%	🟢        	    09-17 16:28:47
85        	BEZ            	2倍做空BE ETF-Tradr	美               	      5.85	     10.03%	     -8.31%	🟢        	    09-17 16:28:47
------------------------------------------------------------------------------------------------------------------------
合计: 85 只股票


================================================================================
统计分析汇总
================================================================================
总股票数量: 600
涨幅超过5%的股票数量: 15 (2.50%)
跌幅超过5%的股票数量: 23 (3.83%)
振幅超过6%的股票数量: 85 (14.17%)
涨幅股票平均涨幅: 25.40%
跌幅股票平均跌幅: 16.04%
涨幅最大股票: 羚羊控股 (AEHL) 涨幅: 78.68%
跌幅最大股票: Cuprina Holdings (CUPR) 跌幅: 45.39%
========================================

本次分析股票数量: 600
生成时间: 2026-09-17T17:59:01.259633600
============================================================

