============================================================
股票数据分析报告[CNA]


涨幅超过 5% 的股票清单（按涨幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	涨幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	-------   	-------   	----------        
41        	688802         	沐曦股份-U    	沪               	    780.00	      9.15%	     -5.83%	🟢        	    07-02 02:54:21
42        	600584         	长电科技      	沪               	    106.64	      9.11%	      2.98%	🔴        	    07-02 02:24:31
43        	600522         	中天科技      	沪               	     55.42	      9.10%	     -8.67%	🟢        	    07-02 02:24:31
44        	002008         	大族激光      	深               	    137.98	      9.07%	     -8.08%	🟢        	    07-02 02:24:31
45        	600487         	亨通光电      	沪               	    101.93	      8.73%	     -6.78%	🟢        	    07-02 02:54:21
46        	000988         	华工科技      	深               	    173.55	      8.59%	     -5.99%	🟢        	    07-02 02:24:31
47        	002493         	荣盛石化      	深               	     11.26	      8.28%	      4.74%	🔴        	    07-02 02:39:02
48        	688795         	摩尔线程-U    	沪               	    673.80	      8.23%	     -5.96%	🟢        	    07-02 02:54:21
49        	002156         	通富微电      	深               	     73.91	      8.15%	     -2.58%	🟢        	    07-02 02:39:02
50        	301200         	大族数控      	深               	    376.61	      8.11%	      4.43%	🔴        	    07-02 02:24:31
51        	603019         	中科曙光      	沪               	    102.45	      8.04%	     -4.46%	🟢        	    07-02 02:24:31
52        	688498         	源杰科技      	沪               	   1761.00	      8.01%	     -6.63%	🟢        	    07-02 02:54:21
53        	601601         	中国太保      	沪               	     29.99	      7.96%	      5.15%	🔴        	    07-02 02:54:21
54        	300394         	天孚通信      	深               	    285.00	      7.93%	     -5.84%	🟢        	    07-02 02:54:21
55        	603256         	宏和科技      	沪               	    255.97	      7.73%	     -3.53%	🟢        	    07-02 02:54:21
56        	600346         	恒力石化      	沪               	     17.78	      7.62%	      0.40%	🔴        	    07-02 02:39:02
57        	600176         	中国巨石      	沪               	     70.27	      7.57%	     -3.58%	🟢        	    07-02 02:54:21
58        	601688         	华泰证券      	沪               	     21.64	      7.47%	      4.95%	🔴        	    07-02 02:54:21
59        	301217         	铜冠铜箔      	深               	    164.84	      7.46%	     -0.14%	🟢        	    07-02 02:39:02
60        	688702         	盛科通信-U    	沪               	    380.52	      7.35%	     -2.43%	🟢        	    07-02 02:24:31
61        	000657         	中钨高新      	深               	     95.94	      7.23%	      0.23%	🔴        	    07-02 02:54:21
62        	002080         	中材科技      	深               	     88.70	      7.14%	     -1.44%	🟢        	    07-02 02:24:31
63        	605117         	德业股份      	沪               	    101.50	      7.12%	     -4.41%	🟢        	    07-02 02:39:02
64        	601066         	中信建投      	沪               	     30.01	      7.09%	      3.23%	🔴        	    07-02 02:54:21
65        	300433         	蓝思科技      	深               	     53.42	      6.95%	     -0.45%	🟢        	    07-02 02:54:21
66        	600549         	厦门钨业      	沪               	     84.90	      6.95%	     -0.35%	🟢        	    07-02 02:39:02
67        	301526         	国际复材      	深               	     46.75	      6.94%	      0.17%	🔴        	    07-02 02:24:31
68        	002600         	领益智造      	深               	     17.80	      6.92%	      2.65%	🔴        	    07-02 02:24:31
69        	000100         	TCL科技     	深               	      6.12	      6.87%	      5.15%	🔴        	    07-02 02:39:02
70        	002415         	海康威视      	深               	     34.03	      6.84%	     -0.50%	🟢        	    07-02 02:54:21
71        	688808         	联讯仪器      	沪               	   2245.00	      6.78%	     -3.33%	🟢        	    07-02 02:54:21
72        	002028         	思源电气      	深               	    165.77	      6.65%	     -4.18%	🟢        	    07-02 02:39:02
73        	601898         	中煤能源      	沪               	     12.62	      6.65%	      3.61%	🔴        	    07-02 02:24:31
74        	600150         	中国船舶      	沪               	     35.19	      6.60%	      4.14%	🔴        	    07-02 02:54:21
75        	600188         	兖矿能源      	沪               	     18.03	      6.53%	      1.46%	🔴        	    07-02 02:24:31
76        	601872         	招商轮船      	沪               	     16.87	      6.32%	     -3.98%	🟢        	    07-02 02:39:02
77        	601100         	恒立液压      	沪               	    105.74	      6.27%	     -1.69%	🟢        	    07-02 02:24:31
78        	601881         	中国银河      	沪               	     13.13	      6.05%	      4.46%	🔴        	    07-02 02:24:31
79        	301377         	鼎泰高科      	深               	    555.30	      6.03%	      0.80%	🔴        	    07-02 02:54:21
------------------------------------------------------------------------------------------------------------------------
合计: 79 只股票


================================================================================
统计分析汇总
================================================================================
总股票数量: 150
涨幅超过5%的股票数量: 19 (12.67%)
跌幅超过5%的股票数量: 18 (12.00%)
振幅超过6%的股票数量: 79 (52.67%)
涨幅股票平均涨幅: 7.62%
跌幅股票平均跌幅: 6.69%
涨幅最大股票: 普冉股份 (688766) 涨幅: 13.49%
跌幅最大股票: 阳光电源 (300274) 跌幅: 13.90%
========================================

本次分析股票数量: 150
生成时间: 2026-07-02T03:21:00.939519944
============================================================

